id_producto;sku;nombre;marca;id_padre;padre_nombre;id_categoria_actual;cat_actual;palabra_raiz_detectada;subcategoria_sugerida;decision_subcategoria
11665;V370;VIGUETA 3.70;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11666;V380;VIGUETA 3.8;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11667;V390;VIGUETA 3.90;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11668;V400;VIGUETA 4;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11670;V420;VIGUETA 4.2;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11671;V440;VIGUETA 4.4;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11672;V460;VIGUETA 4.6;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11673;V480;VIGUETA 4.8;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11674;V500;VIGUETA 5;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11675;V520;VIGUETA 5.2;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11676;V540;VIGUETA 5.4;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11677;V550;VIGUETA 5.5;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11678;V560;VIGUETA 5.6;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11679;V600;VIGUETA 6;;;;18;CORRALON;VIGUETA;VIGUETAS;VIGUETAS
11770;VP2640;VENTILUZ-AIREADORES  40X26   /RG ///;RG;;;690;ABERTURAS PVC;VENTILUZ-AIREADORES;VENTILUZ-AIREADORESES;PUERTAS Y ABERTURAS
11773;VP3660;VENTILUZ-AIREADORES  60X36   /RG ///;RG;;;690;ABERTURAS PVC;VENTILUZ-AIREADORES;VENTILUZ-AIREADORESES;PUERTAS Y ABERTURAS
11826;Y40;YESO TUYANGO 30KG;;;;18;CORRALON;YESO;YESOS;AGLOMERANTES
11828;YP40;YESO PROYECTABLE 30KG;;;;18;CORRALON;YESO;YESOS;AGLOMERANTES
66;A;ARENA SUELTA;;11873;ARENA CORRALON;18;CORRALON;ARENA;ARENAS;ÁRIDOS
73;A12;ARENA SUELTA X MEDIO;;11873;ARENA CORRALON;18;CORRALON;ARENA;ARENAS;ÁRIDOS
104;A3;ARENA X 3 BALDES;;11873;ARENA CORRALON;18;CORRALON;ARENA;ARENAS;ÁRIDOS
145;ABA;ARENA X  BOLSON;;11873;ARENA CORRALON;18;CORRALON;ARENA;ARENAS;ÁRIDOS
862;BA;BOLSON VACIO;;11873;ARENA CORRALON;18;CORRALON;ARENA;ARENAS;ÁRIDOS
11974;ppba;PIEDRA EN BOLSON;;;;18;CORRALON;PIEDRA;PIEDRAS;ÁRIDOS
11975;CPBA;CASCOTE EN BOLSON;;;;18;CORRALON;CASCOTE;CASCOTES;ÁRIDOS
364;AL1H;ACELERANTE DE FRAGUE 01 LT /HORNERO;HORNERO;11979;ACELERANTE DE FRAGUE (HORNERO);18;CORRALON;ACELERANTE;ACELERANTES;PINTURAS Y ADITIVOS
395;AP1H;ADITIVO PLASTICO 01 KG /HORNERO;HORNERO;11980;ADITIVO PLASTICO (HORNERO);18;CORRALON;ADITIVO;ADITIVOS;PINTURAS Y ADITIVOS
401;AP4H;ADITIVO PLASTICO 04 KG /HORNERO;HORNERO;11980;ADITIVO PLASTICO (HORNERO);18;CORRALON;ADITIVO;ADITIVOS;PINTURAS Y ADITIVOS
393;AP10H;ADITIVO PLASTICO 10 KG /HORNERO;HORNERO;11980;ADITIVO PLASTICO (HORNERO);18;CORRALON;ADITIVO;ADITIVOS;PINTURAS Y ADITIVOS
5192;H1H;HIDROFUGO 01 KG /HORNERO;HORNERO;11981;HIDROFUGO (HORNERO);18;CORRALON;HIDROFUGO;HIDROFUGOS;IMPERMEABILIZACIÓN
